,date,ticker,name,action,cik
2,"Sep 20, 2021",BRO,Brown & Brown,added,
1,"Sep 20, 2021",CDAY,Ceridian,added,
0,"Sep 20, 2021",MTCH,Match Group,added,
2,"Sep 20, 2021",NOV,Nov,removed,
0,"Sep 20, 2021",PRGO,Perrigo,removed,
1,"Sep 20, 2021",UNM,Unum,removed,
3,"Aug 30, 2021",MXIM,Maxim Integrated,removed,
3,"Aug 30, 2021",TECH,Bio-Techne,added,
4,"Jul 21, 2021",ALXN,Alexion Pharmaceuticals,removed,
4,"Jul 21, 2021",MRNA,Moderna,added,
5,"Jun 4, 2021",HFC,HollyFrontier,removed,
6,"Jun 3, 2021",OGN,Organon & Co.,added,
7,"May 14, 2021",CRL,Charles River Laboratories,added,
7,"May 14, 2021",FLIR,FLIR Systems,removed,
8,"Apr 20, 2021",PTC,PTC,added,
8,"Apr 20, 2021",VAR,Varian Medical Systems,removed,
12,"Mar 22, 2021",CZR,Caesars Entertainment,added,
9,"Mar 22, 2021",FLS,Flowserve,removed,
11,"Mar 22, 2021",GNRC,Generac Holdings,added,
9,"Mar 22, 2021",NXPI,NXP,added,
10,"Mar 22, 2021",PENN,Penn National Gaming,added,
10,"Mar 22, 2021",SLG,SL Green Realty,removed,
12,"Mar 22, 2021",VNT,Vontier,removed,
11,"Mar 22, 2021",XRX,Xerox,removed,
13,"Feb 12, 2021",FTI,TechnipFMC,removed,
13,"Feb 12, 2021",MPWR,Monolithic Power Systems,added,
14,"Jan 21, 2021",CXO,Concho Resources,removed,
14,"Jan 21, 2021",TRMB,Trimble,added,
15,"Jan 7, 2021",ENPH,Enphase Energy,added,
15,"Jan 7, 2021",TIF,Tiffany & Co,removed,
16,"Dec 21, 2020",AIV,Apartment Investment & Management,removed,
16,"Dec 21, 2020",TSLA,Tesla,added,
17,"Oct 12, 2020",NBL,Noble Energy,removed,
18,"Oct 9, 2020",VNT,Vontier,added,
19,"Oct 7, 2020",ETFC,E-Trade,removed,
19,"Oct 7, 2020",POOL,Pool Corporation,added,
21,"Sep 21, 2020",COTY,Coty,removed,
22,"Sep 21, 2020",CTLT,Catalent,added,
20,"Sep 21, 2020",ETSY,Etsy,added,
20,"Sep 21, 2020",HRB,H&R Block,removed,
22,"Sep 21, 2020",KSS,Kohl's,removed,
21,"Sep 21, 2020",TER,Teradyne,added,
23,"Jun 22, 2020",ADS,Alliance Data Systems,removed,
23,"Jun 22, 2020",BIO,Bio-Rad Laboratories,added,
24,"Jun 22, 2020",HOG,Harley-Davidson,removed,
25,"Jun 22, 2020",JWN,Nordstrom,removed,
24,"Jun 22, 2020",TDY,Teledyne Technologies,added,
25,"Jun 22, 2020",TYL,Tyler Technologies,added,
26,"May 22, 2020",HP,Helmerich & Payne,removed,
26,"May 22, 2020",WST,West Pharmaceutical Services,added,
28,"May 12, 2020",AGN,Allergan,removed,
27,"May 12, 2020",CPRI,Capri Holdings,removed,
27,"May 12, 2020",DPZ,Domino's Pizza,added,
28,"May 12, 2020",DXCM,Dexcom,added,
29,"Apr 6, 2020",M,Macy's,removed,
30,"Apr 6, 2020",RTN,Raytheon Company,removed,
32,"Apr 3, 2020",CARR,Carrier Global,added,
31,"Apr 3, 2020",OTIS,Otis Worldwide,added,
33,"Apr 1, 2020",ARNC,Arconic,removed,
33,"Apr 1, 2020",HWM,Howmet Aerospace,added,
34,"Mar 2, 2020",IR,Ingersoll Rand,added,
34,"Mar 2, 2020",XEC,Cimarex Energy,removed,
35,"Jan 28, 2020",PAYC,Paycom,added,
35,"Jan 28, 2020",WCG,WellCare,removed,
36,"Dec 23, 2019",AMG,Affiliated Managers Group,removed,
36,"Dec 23, 2019",LYV,Live Nation Entertainment,added,
38,"Dec 23, 2019",MAC,Macerich,removed,
38,"Dec 23, 2019",STE,Steris,added,
37,"Dec 23, 2019",TRIP,TripAdvisor,removed,
37,"Dec 23, 2019",ZBRA,Zebra Technologies,added,
39,"Dec 9, 2019",ODFL,Old Dominion Freight Line,added,
39,"Dec 9, 2019",STI,SunTrust Banks,removed,
40,"Dec 5, 2019",VIAB,Viacom,removed,
40,"Dec 5, 2019",WRB,W. R. Berkley Corporation,added,
41,"Nov 21, 2019",CELG,Celgene,removed,
41,"Nov 21, 2019",NOW,ServiceNow,added,
42,"Oct 3, 2019",LVS,Las Vegas Sands,added,
42,"Oct 3, 2019",NKTR,Nektar Therapeutics,removed,
43,"Sep 26, 2019",JEF,Jefferies Financial Group,removed,
43,"Sep 26, 2019",NVR,NVR,added,
44,"Sep 23, 2019",CDW,CDW,added,
44,"Sep 23, 2019",TSS,TSYS,removed,
45,"Aug 9, 2019",APC,Anadarko Petroleum,removed,
46,"Aug 9, 2019",FL,Foot Locker,removed,
46,"Aug 9, 2019",IEX,IDEX Corporation,added,
45,"Aug 9, 2019",LDOS,Leidos,added,
47,"Jul 15, 2019",RHT,Red Hat,removed,
47,"Jul 15, 2019",TMUS,T-Mobile US,added,
48,"Jul 1, 2019",LLL,L3 Technologies,removed,
48,"Jul 1, 2019",MKTX,MarketAxess,added,
49,"Jun 7, 2019",AMCR,Amcor,added,
49,"Jun 7, 2019",MAT,Mattel,removed,
51,"Jun 3, 2019",CTVA,Corteva,added,
50,"Jun 3, 2019",DD,DuPont,added,
50,"Jun 3, 2019",DWDP,DuPont,removed,
51,"Jun 3, 2019",FLR,Fluor Corporation,removed,
52,"Apr 2, 2019",BHF,Brighthouse Financial,removed,
52,"Apr 2, 2019",DOW,Dow,added,
53,"Feb 27, 2019",GT,The Goodyear Tire & Rubber Company,removed,
53,"Feb 27, 2019",WAB,Wabtec,added,
54,"Feb 15, 2019",ATO,Atmos Energy,added,
54,"Feb 15, 2019",NFX,Newfield Exploration,removed,
55,"Jan 18, 2019",PCG,Pacific Gas & Electric Company,removed,
55,"Jan 18, 2019",TFX,Teleflex,added,
56,"Jan 2, 2019",FRC,First Republic Bank,added,
56,"Jan 2, 2019",SCG,SCANA,removed,
57,"Dec 24, 2018",CE,Celanese,added,
57,"Dec 24, 2018",ESRX,Express Scripts,removed,
59,"Dec 3, 2018",AET,Aetna,removed,
58,"Dec 3, 2018",COL,Rockwell Collins,removed,
60,"Dec 3, 2018",FANG,Diamondback Energy,added,
58,"Dec 3, 2018",LW,Lamb Weston,added,
59,"Dec 3, 2018",MXIM,Maxim Integrated,added,
60,"Dec 3, 2018",SRCL,Stericycle,removed,
61,"Nov 13, 2018",EQT,EQT,removed,
61,"Nov 13, 2018",JKHY,Jack Henry & Associates,added,
62,"Nov 6, 2018",CA,CA Technologies,removed,
62,"Nov 6, 2018",KEYS,Keysight Technologies,added,
63,"Oct 11, 2018",EVHC,Envision Healthcare,removed,
63,"Oct 11, 2018",FTNT,Fortinet,added,
64,"Oct 1, 2018",ANDV,Andeavor,removed,
64,"Oct 1, 2018",ROL,Rollins,added,
65,"Sep 14, 2018",WCG,WellCare,added,
65,"Sep 14, 2018",XL,XL Group,removed,
